Distrito,FRELIMO,MDM,RENAMO,Total
Angoche,287,9,184,480
Barue,3110,97,728,3935
Chimoio,1918,149,735,2802
Chokwe,3905,249,250,4404
Cidade da Beira,4098,1482,877,6457
Cidade da Matola,3791,445,2376,6612
Cidade de Nampula,1280,105,1182,2567
Gondola,1749,113,610,2472
Gorongosa,3009,242,977,4228
Gurue,2672,511,1306,4489
Manica,2754,113,864,3731
Maputo Cidade,0,0,0,0
Marromeu,1549,253,545,2347
Mocimboa da Praia,658,15,652,1325
Mocuba,2536,165,1490,4191
Monapo,313,23,248,584
Montepuez,962,48,551,1561
Nacala-Porto,1194,35,1293,2522
Nhamatanda,2086,124,843,3053
Quelimane,4116,852,4829,9797
