area    ,lat,lng,Movel,Fixa,Total
Mocimboa da Praia,-11.3536,40.3522,0,2,2
Montepuez,-13.134,38.9981,5,8,13
Nampula,-15.11646,39.2666,5,70,75
Angoche,-16.2325,39.90861,1,6,7
Monapo,-14.915417,40.298595,1,12,13
Nacala Porto,-14.56257,40.68538,4,33,37
Quelimane,-17.87861,36.88833,0,17,17
Gurue,-15.462386,36.983612,0,16,16
Mocuba,-16.839096,36.98559,2,32,34
Chimoio,-19.11639,33.48333,0,31,31
Catandica,-18.057169,33.173958,1,3,4
Gondola,-19.08684,33.64619,1,6,7
Manica,-18.936094,32.87562,4,24,28
Beira,-19.84361,34.83889,0,25,25
Gorongosa,-18.68532,34.06977,0,5,5
Marromeu,-18.290625,35.938618,0,26,26
Nhamatanda,-19.270105,34.20811,0,66,66
Chokwe,-24.53333,32.98333,0,27,27
Matola,-25.96222,32.45889,8,71,79
Maputo Cidade,-25.972,32.58322,0,254,254
